Unnamed: 0,store_id_in_org,store_no,store_name,store_address,store_type,short_code_prefix,open_status,x_axis,y_axis,city_id,dist_id,baidu_lat,baidu_lng,precise,confidence,comprehension
0,11.0,103.0,上海纪念店,上海市杨浦区吉浦路3号,Comprehensive,C,2,121.4912,31.298990000000003,310100,310110,31.30492357706552,121.49789529042646,1,80,100
1,13.0,13.0,上海福泉店,上海长宁区新潮路35号,Community,C,2,121.3609,31.201490000000003,310100,310105,31.207286420144165,121.36752336466125,1,80,100
2,14.0,11.0,上海梅陇店,上海市徐汇区丹棱路49号,Community,C,2,121.4264,31.13649,310100,310104,31.14269352449834,121.43287893166651,1,80,100
3,15.0,10.0,上海栖山店,上海市浦东新区栖山路1452号,Community,C,2,121.5644,31.25671,310100,310115,31.263110974259906,121.57076492970052,1,80,100
4,16.0,12.0,上海三林店,上海市浦东新区三林路1374号一层,Community,C,2,121.5188,31.14483,310100,310115,31.150707715994677,121.52546330288314,1,80,99
5,17.0,14.0,上海澳门店,上海市普陀区澳门路19号,Community,C,2,121.4474,31.24574,310100,310107,31.252059092257237,121.45389551041177,1,80,100
6,18.0,15.0,上海国和店,上海市杨浦区国和路848号,Community,C,2,121.5218,31.31698,310100,310110,31.322835433355007,121.52835051069053,1,80,100
7,20.0,16.0,上海昆明店,上海市杨浦区辽阳路411号5幢底层1-3室,Community,C,2,121.5148,31.26221,310100,310110,31.267878610319727,121.52119641818535,1,80,96
8,21.0,17.0,上海洛川店,上海市静安区洛川中路840号,Community,C,2,121.4522,31.26563,310100,310108,31.2718766933657,121.45863915997931,1,80,100
9,22.0,18.0,上海御桥店,上海市浦东新区御桥路266-268号,Community,C,2,121.5346,31.149520000000006,310100,310115,31.15554428200612,121.54105854858751,1,80,99
10,23.0,19.0,上海水电店,上海市虹口区水电路1345号,Community,C,2,121.4766,31.29656,310100,310109,31.30229658655497,121.48323307243493,1,80,100
